,antenna selection,col2
0,"[(0, 0), (1, 0), (2, 0), (3, 0)]",26.40000000000003
1,"[(0, 0), (1, 0), (2, 0), (0, 1)]",36.00000000000004
2,"[(0, 0), (1, 0), (2, 0), (1, 1)]",42.800000000000054
3,"[(0, 0), (1, 0), (2, 0), (2, 1)]",36.00000000000004
4,"[(0, 0), (1, 0), (2, 0), (3, 1)]",26.40000000000003
5,"[(0, 0), (1, 0), (3, 0), (2, 1)]",26.40000000000003
6,"[(0, 0), (1, 0), (0, 1), (1, 1)]",60.00000000000007
7,"[(0, 0), (1, 0), (0, 1), (2, 1)]",36.00000000000004
8,"[(0, 0), (1, 0), (1, 1), (2, 1)]",42.800000000000054
9,"[(0, 0), (1, 0), (2, 1), (3, 1)]",26.40000000000003
10,"[(0, 0), (2, 0), (3, 0), (1, 1)]",26.40000000000003
11,"[(0, 0), (2, 0), (0, 1), (1, 1)]",36.00000000000004
12,"[(0, 0), (2, 0), (1, 1), (2, 1)]",36.00000000000004
13,"[(0, 0), (2, 0), (1, 1), (3, 1)]",26.40000000000003
14,"[(0, 0), (3, 0), (1, 1), (2, 1)]",26.40000000000003
15,"[(0, 0), (0, 1), (1, 1), (2, 1)]",36.00000000000004
16,"[(0, 0), (1, 1), (2, 1), (3, 1)]",26.40000000000003
17,"[(1, 0), (2, 0), (3, 0), (0, 1)]",26.40000000000003
18,"[(1, 0), (2, 0), (3, 0), (1, 1)]",36.00000000000004
19,"[(1, 0), (2, 0), (3, 0), (2, 1)]",42.800000000000054
20,"[(1, 0), (2, 0), (3, 0), (3, 1)]",36.00000000000004
21,"[(1, 0), (2, 0), (0, 1), (1, 1)]",42.800000000000054
22,"[(1, 0), (2, 0), (0, 1), (2, 1)]",36.00000000000004
23,"[(1, 0), (2, 0), (0, 1), (3, 1)]",26.40000000000003
24,"[(1, 0), (2, 0), (1, 1), (2, 1)]",60.00000000000007
25,"[(1, 0), (2, 0), (1, 1), (3, 1)]",36.00000000000004
26,"[(1, 0), (2, 0), (2, 1), (3, 1)]",42.800000000000054
27,"[(1, 0), (3, 0), (0, 1), (2, 1)]",26.40000000000003
28,"[(1, 0), (3, 0), (1, 1), (2, 1)]",36.00000000000004
29,"[(1, 0), (3, 0), (2, 1), (3, 1)]",36.00000000000004
30,"[(1, 0), (0, 1), (1, 1), (2, 1)]",42.800000000000054
31,"[(1, 0), (0, 1), (2, 1), (3, 1)]",26.40000000000003
32,"[(1, 0), (1, 1), (2, 1), (3, 1)]",36.00000000000004
33,"[(2, 0), (3, 0), (0, 1), (1, 1)]",26.40000000000003
34,"[(2, 0), (3, 0), (1, 1), (2, 1)]",42.800000000000054
35,"[(2, 0), (3, 0), (1, 1), (3, 1)]",36.00000000000004
36,"[(2, 0), (3, 0), (2, 1), (3, 1)]",60.00000000000007
37,"[(2, 0), (0, 1), (1, 1), (2, 1)]",36.00000000000004
38,"[(2, 0), (0, 1), (1, 1), (3, 1)]",26.40000000000003
39,"[(2, 0), (1, 1), (2, 1), (3, 1)]",42.800000000000054
40,"[(3, 0), (0, 1), (1, 1), (2, 1)]",26.40000000000003
41,"[(3, 0), (1, 1), (2, 1), (3, 1)]",36.00000000000004
42,"[(0, 1), (1, 1), (2, 1), (3, 1)]",26.40000000000003
