,antenna selection,col2
0,"[(0, 0), (1, 0), (2, 0), (3, 0)]",26.40000000000003
40,"[(3, 0), (0, 1), (1, 1), (2, 1)]",26.40000000000003
38,"[(2, 0), (0, 1), (1, 1), (3, 1)]",26.40000000000003
33,"[(2, 0), (3, 0), (0, 1), (1, 1)]",26.40000000000003
31,"[(1, 0), (0, 1), (2, 1), (3, 1)]",26.40000000000003
27,"[(1, 0), (3, 0), (0, 1), (2, 1)]",26.40000000000003
23,"[(1, 0), (2, 0), (0, 1), (3, 1)]",26.40000000000003
17,"[(1, 0), (2, 0), (3, 0), (0, 1)]",26.40000000000003
16,"[(0, 0), (1, 1), (2, 1), (3, 1)]",26.40000000000003
14,"[(0, 0), (3, 0), (1, 1), (2, 1)]",26.40000000000003
13,"[(0, 0), (2, 0), (1, 1), (3, 1)]",26.40000000000003
42,"[(0, 1), (1, 1), (2, 1), (3, 1)]",26.40000000000003
5,"[(0, 0), (1, 0), (3, 0), (2, 1)]",26.40000000000003
10,"[(0, 0), (2, 0), (3, 0), (1, 1)]",26.40000000000003
9,"[(0, 0), (1, 0), (2, 1), (3, 1)]",26.40000000000003
4,"[(0, 0), (1, 0), (2, 0), (3, 1)]",26.40000000000003
1,"[(0, 0), (1, 0), (2, 0), (0, 1)]",36.00000000000004
37,"[(2, 0), (0, 1), (1, 1), (2, 1)]",36.00000000000004
35,"[(2, 0), (3, 0), (1, 1), (3, 1)]",36.00000000000004
3,"[(0, 0), (1, 0), (2, 0), (2, 1)]",36.00000000000004
32,"[(1, 0), (1, 1), (2, 1), (3, 1)]",36.00000000000004
29,"[(1, 0), (3, 0), (2, 1), (3, 1)]",36.00000000000004
28,"[(1, 0), (3, 0), (1, 1), (2, 1)]",36.00000000000004
11,"[(0, 0), (2, 0), (0, 1), (1, 1)]",36.00000000000004
25,"[(1, 0), (2, 0), (1, 1), (3, 1)]",36.00000000000004
12,"[(0, 0), (2, 0), (1, 1), (2, 1)]",36.00000000000004
15,"[(0, 0), (0, 1), (1, 1), (2, 1)]",36.00000000000004
22,"[(1, 0), (2, 0), (0, 1), (2, 1)]",36.00000000000004
41,"[(3, 0), (1, 1), (2, 1), (3, 1)]",36.00000000000004
20,"[(1, 0), (2, 0), (3, 0), (3, 1)]",36.00000000000004
18,"[(1, 0), (2, 0), (3, 0), (1, 1)]",36.00000000000004
7,"[(0, 0), (1, 0), (0, 1), (2, 1)]",36.00000000000004
26,"[(1, 0), (2, 0), (2, 1), (3, 1)]",42.800000000000054
39,"[(2, 0), (1, 1), (2, 1), (3, 1)]",42.800000000000054
2,"[(0, 0), (1, 0), (2, 0), (1, 1)]",42.800000000000054
8,"[(0, 0), (1, 0), (1, 1), (2, 1)]",42.800000000000054
34,"[(2, 0), (3, 0), (1, 1), (2, 1)]",42.800000000000054
19,"[(1, 0), (2, 0), (3, 0), (2, 1)]",42.800000000000054
30,"[(1, 0), (0, 1), (1, 1), (2, 1)]",42.800000000000054
21,"[(1, 0), (2, 0), (0, 1), (1, 1)]",42.800000000000054
24,"[(1, 0), (2, 0), (1, 1), (2, 1)]",60.00000000000007
6,"[(0, 0), (1, 0), (0, 1), (1, 1)]",60.00000000000007
36,"[(2, 0), (3, 0), (2, 1), (3, 1)]",60.00000000000007
